pair_id,label_same_person,lr_marks,display_correspondences,scoring_correspondences,generic_suppressed,distinctive_preserved,lr_before_caps,lr_after_all_caps,cluster_penalty
lfw_matched_0007,True,1.0,9,7,2,7,330586099.6577202,1.0,True
lfw_matched_0012,True,1.0,0,0,0,0,,,False
lfw_matched_0030,True,1.0,9,8,1,8,123495816321.40923,1.0,True
lfw_matched_0043,True,1.0,8,7,1,7,1116363052.2436337,1.0,True
lfw_matched_0053,True,1.0,5,5,0,5,9765625.0,1.0,True
lfw_matched_0061,True,3.6238983183884783,1,1,0,1,25.0,3.6238983183884783,True
lfw_matched_0069,True,1.0,9,9,0,9,65796078039.23154,1.0,True
lfw_matched_0074,True,1.0,6,5,1,5,390625.0,1.0,True
lfw_matched_0080,True,1.0,4,3,1,3,15625.0,1.0,True
lfw_matched_0088,True,1.0,6,6,0,6,1193469.0060456689,1.0,True
lfw_mismatched_0035,False,1.0,5,4,1,4,2781.798698637923,1.0,True
lfw_mismatched_0044,False,1.0,11,11,0,11,6208657055633.072,1.0,True
lfw_mismatched_0060,False,1.0,5,5,0,5,2147333.018816072,1.0,True
lfw_mismatched_0066,False,1.0,12,11,1,11,2384185791015625.0,1.0,True
lfw_mismatched_0076,False,1.0,5,4,1,4,390625.0,1.0,True
lfw_mismatched_0092,False,1.0,9,8,1,8,61788311.01950368,1.0,True
lfw_mismatched_0098,False,1.0,4,4,0,4,390625.0,1.0,True
lfw_matched_0003,True,1.0,6,5,1,5,9765625.0,1.0,True
lfw_matched_0011,True,1.0,8,8,0,8,120291349561.46832,1.0,True
lfw_matched_0024,True,1.0,5,3,2,3,15625.0,1.0,True
lfw_matched_0051,True,8.266518236458811,2,2,0,2,130.74465983162386,8.266518236458811,True
lfw_matched_0058,True,1.0,4,4,0,4,328568.28087393986,1.0,True
lfw_matched_0073,True,1.0,5,4,1,4,390625.0,1.0,True
lfw_matched_0079,True,1.0,5,5,0,5,9765625.0,1.0,True
lfw_matched_0085,True,3.6238983183884783,1,1,0,1,25.0,3.6238983183884783,True
lfw_mismatched_0002,False,1.0,4,4,0,4,367876.1016123998,1.0,True
lfw_mismatched_0013,False,1.0,10,10,0,10,76095617633735.38,1.0,True
lfw_mismatched_0031,False,1.0,5,5,0,5,9765625.0,1.0,True
lfw_mismatched_0041,False,1.0,12,11,1,11,2203381652687904.2,1.0,True
lfw_mismatched_0049,False,1.0,7,7,0,7,6099556705.529848,1.0,True
lfw_mismatched_0059,False,1.0,4,4,0,4,19652.275449610126,1.0,True
lfw_mismatched_0075,False,1.0,7,7,0,7,3568978273.8721766,1.0,True
lfw_mismatched_0090,False,1.0,5,5,0,5,1472960.893012388,1.0,True
lfw_mismatched_0097,False,1.0,6,5,1,5,9765625.0,1.0,True
lfw_matched_0009,True,1.0,4,4,0,4,390625.0,1.0,True
lfw_matched_0015,True,1.0,13,12,1,12,1.4340383854647796e+16,1.0,True
lfw_matched_0037,True,1.0,9,8,1,8,6103515625.0,1.0,True
lfw_matched_0047,True,1.0,7,5,2,5,6896995.650223505,1.0,True
lfw_matched_0056,True,1.0,4,4,0,4,390625.0,1.0,True
lfw_matched_0065,True,1.0,5,5,0,5,7650201.598648437,1.0,True
lfw_matched_0083,True,1.0,0,0,0,0,,,False
lfw_matched_0091,True,1.0,3,2,1,2,625.0,1.0,True
lfw_mismatched_0009,False,1.0,4,3,1,3,15625.0,1.0,True
lfw_mismatched_0046,False,1.0,3,2,1,2,625.0,1.0,True
lfw_mismatched_0057,False,1.0,7,6,1,6,10968443.933701023,1.0,True
lfw_mismatched_0062,False,1.0,5,4,1,4,390625.0,1.0,True
